cd_municipio_7,regional_saude,nm_cidade,uf_municipio,nm_regiao,cidades_habitantes,id_singular,reg_ans
1400308,Secretaria Estadual de Saúde,Mucajaí,RR,Norte,20006,001,314315
1400407,Secretaria Estadual de Saúde,Normandia,RR,Norte,16323,001,314315
1400456,Secretaria Estadual de Saúde,Pacaraima,RR,Norte,23112,001,314315
1400472,Secretaria Estadual de Saúde,Rorainópolis,RR,Norte,37787,001,314315
1400506,Secretaria Estadual de Saúde,São João da Baliza,RR,Norte,9969,001,314315
1400605,Secretaria Estadual de Saúde,São Luiz,RR,Norte,7848,001,314315
1400704,Secretaria Estadual de Saúde,Uiramutã,RR,Norte,16186,001,314315
1500107,Alça Viária,Abaetetuba,PA,Norte,172344,029,368555
1500131,Rodovia BR 222,Abel Figueiredo,PA,Norte,6275,029,368555
1500206,Rodovia PA-140/Rio Capim,Acará,PA,Norte,63110,029,368555
1500305,Marajó Oriental,Afuá,PA,Norte,40473,029,368555
1500347,Araguaia-Xingu,Água Azul do Norte,PA,Norte,17596,029,368555
1500404,Baixo Amazonas,Alenquer,PA,Norte,75882,029,368555
1500503,Baixo Amazonas,Almeirim,PA,Norte,36442,029,368555
1500602,Rodovia Transamazônica,Altamira,PA,Norte,138749,029,368555
1500701,Marajó Ocidental,Anajás,PA,Norte,30247,029,368555
1500800,Metropolitana,Ananindeua,PA,Norte,509227,029,368555
1500859,Rodovia Transamazônica,Anapu,PA,Norte,35638,029,368555
1500909,Bacia Atlântico-Caetés,Augusto Corrêa,PA,Norte,47912,029,368555
1500958,Rodovia BR 010,Aurora do Pará,PA,Norte,24193,029,368555
1501006,Rio Tapajós,Aveiro,PA,Norte,19380,029,368555
1501105,Marajó Ocidental,Bagre,PA,Norte,35147,029,368555
1501204,Baixo Tocantins,Baião,PA,Norte,56850,029,368555
1501253,Planalto do Araguaia,Bannach,PA,Norte,4290,029,368555
1501303,Alça Viária,Barcarena,PA,Norte,139076,029,368555
1501402,Metropolitana,Belém,PA,Norte,1397315,029,368555
1501451,Baixo Amazonas,Belterra,PA,Norte,19075,029,368555
1501501,Metropolitana,Benevides,PA,Norte,68962,029,368555
1501576,Rodovia BR 222,Bom Jesus do Tocantins,PA,Norte,19129,029,368555
1501600,Bacia Atlântico-Caetés,Bonito,PA,Norte,12961,029,368555
1501709,Bacia Atlântico-Caetés,Bragança,PA,Norte,132489,029,368555
1501725,Rodovia Transamazônica,Brasil Novo,PA,Norte,27130,029,368555
1501758,Serra das Andorinhas,Brejo Grande do Araguaia,PA,Norte,6966,029,368555
1501782,Lago Tucuruí,Breu Branco,PA,Norte,47066,029,368555
1501808,Marajó Ocidental,Breves,PA,Norte,116058,029,368555
1501907,Rodovia PA-140/Rio Capim,Bujaru,PA,Norte,25065,029,368555
1501956,Bacia Atlântico-Caetés,Cachoeira do Piriá,PA,Norte,19223,029,368555
1502004,Marajó Oriental,Cachoeira do Arari,PA,Norte,25467,029,368555
1502103,Baixo Tocantins,Cametá,PA,Norte,144859,029,368555
1502152,Serra dos Carajás,Canaã dos Carajás,PA,Norte,89524,029,368555
1502202,Bacia Atlântico-Caetés,Capanema,PA,Norte,75309,029,368555
1502301,Rodovia BR 010,Capitão Poço,PA,Norte,60318,029,368555
1502400,Rio Guamá,Castanhal,PA,Norte,209126,029,368555
1502509,Marajó Oriental,Chaves,PA,Norte,21501,029,368555
1502608,Rodovia PA-140/Rio Guajará-Mirim,Colares,PA,Norte,13625,029,368555
1502707,Araguaia,Conceição do Araguaia,PA,Norte,47144,029,368555
1502756,Rodovia PA-140/Rio Capim,Concórdia do Pará,PA,Norte,28270,029,368555
1502764,Planalto do Araguaia,Cumaru do Norte,PA,Norte,15150,029,368555
1502772,Serra dos Carajás,Curionópolis,PA,Norte,20975,029,368555
1502806,Marajó Ocidental,Curralinho,PA,Norte,36814,029,368555
1502855,Baixo Amazonas,Curuá,PA,Norte,14954,029,368555
1502905,Rio Guamá,Curuçá,PA,Norte,44880,029,368555
1502939,Rodovia BR 222,Dom Eliseu,PA,Norte,62823,029,368555
